"Location_Name","Map_ID","X_coord","Y_coord","Z_coord"
"Eastern Kingdom: Ironforge Airport",0,-4488.9933105,-1580.19104,509.005066
"Eastern Kingdom: Wetlands Mountain Camp",0,-3855,-3479,579
"Eastern Kingdom: Dun Morogh plane camp",0,-6161,-786,423
"Eastern Kingdom: Undercity",0,1831.26,238.53,60.52
"Eastern Kingdom: Stormwind City",0,-8913.23,554.633,93.7944
"Eastern Kingdom: Ironforge",0,-4981.25,-881.542,501.66
"Kalimdor: Orgrimmar",1,1502.71106,-4415.416016,21.551229
"Alterac Mountains: Lordamere Internment Camp",0,-74.6376,201.212,53.2755
"Alterac Mountains: Dalaran Inside Dome",0,258,351,41.9076
"Alterac Mountains: Dalaran Ruins",0,386.938,212.299,43.6994
"Alterac Mountains: Uplands",0,1239.12,-286.705,42.4764
"Alterac Mountains: Strahnbrad",0,679.813,-965.173,164.598
"Alterac Mountains: Ruins of Alterac",0,522.608,-275.392,150.689
"Arathi Highlands: Faldir's Cove",0,-2086.88,-2074.57,5.72927
"Arathi Highlands: Boulderfist Hall",0,-1969.08,-2789.04,81.2105
"Arathi Highlands: Go'Shek Farm",0,-1505.51,-3030.52,12.627
"Arathi Highlands: Witherbark Village",0,-1763.41,-3371.67,40.609
"Arathi Highlands: Hammerfall",0,-950.584,-3533.13,71.8318
"Arathi Highlands: Dabyrie's Farmstead",0,-1065.89,-2905.56,42.0958
"Arathi Highlands: Refuge Pointe",0,-1262.79,-2521.75,20.8021
"Arathi Highlands: Northfold Manor",0,-797.235,-2068.95,33.8337
"Arathi Highlands: Circle of West Binding",0,-863.118,-1784.72,39.6118
"Arathi Highlands: Thoradin's Wall",0,-839.599,-1590.32,54.1962
"Arathi Highlands: Stormgarde Keep",0,-1661.42,-1804.2,83.0723
"Arathi Highlands: Circle of Inner Binding",0,-1529.75,-2166.7,17.3717
"Arathi Highlands: Circle of Outer Binding",0,-1354.4,-2738.07,58.9657
"Arathi Highlands: Circle of East Binding",0,-842.604,-3270.04,78.3588
"Badlands: Excavatin Site",0,-6092.32,-3214.55,262.727
"Badlands: Hamertoe's Digsite",0,-6411.58,-3409.85,241.537
"Badlands: Camp Cosh",0,-6247.73,-3776.6,249.06
"Badlands: Lethlor Ravine",0,-6935.86,-4092.06,285.906
"Badlands: Camp Boff",0,-7033.94,-3669.89,245.91
"Badlands: Agmond's End",0,-7027.81,-3330.11,241.51
"Badlands: Camp Cagg",0,-7147.67,-2430.87,240.51
"Badlands: Apocryphan's Rest",0,-6894.29,-2465.82,247.978
"Badlands: Kargath Orc Outpost",0,-6675.96,-2188.29,246.152
"Badlands: Unknown Dwarf Fortress",0,-6380.77,-3139.89,301.111
"Badlands: Two Giant Sitting Dwarfs",0,-5829.66,-2585.59,311.971
"Blasted Lands: Orc Outpost",0,-10859,-2663.38,7.80049
"Blasted Lands: Altar of Storms",0,-11272.8,-2547.59,102.02
"Blasted Lands: Dark Portal",0,-11853.6,-3197.44,-27.2186
"Blasted Lands: Azureload Human Town",0,-11033,-3095.22,89.8189
"Burning Steppes: Dreadmaul Rock",0,-7924.68,-2624.44,220.958
"Burning Steppes: Giant Orc Statue",0,-8066.68,-1621.66,132.982
"Burning Steppes: Altar of Storms",0,-7613.13,-761.492,190.807
"Burning Steppes: Top of Blackrock Mountain",0,-7468,-1082,896
"Deadwind Pass Karazhan Entrance",0,-11000,-1980,200
"Deadwind Pass Highest Point in Krazhan",0,-11100,-2000,400
"Dun Morogh: Dwarf Outpost",0,-5475.44,-2425.32,413.455
"Dun Morogh: Dwarf Outpost",0,-5231.95,-2366.98,398.807
"Dun Morogh: Helm's Bed Lake",0,-5607.39,-1984.16,396.373
"Dun Morogh: Gol'Bolar Quarry",0,-5826.35,-1586.57,364.269
"Dun Morogh: Kharanos",0,-5582.32,-463.982,402
"Dun Morogh: Steelgrill's Depot",0,-5470.37,-662.312,392.674
"Dun Morogh: Misty Pine Refuge",0,-5353.18,-1043.02,394.772
"Dun Morogh: City of Ironforge",0,-4981.25,-881.542,501.66
"Dun Morogh: Coldridge Valley",0,-6325.7,294.835,379.791
"Dun Morogh: Anvilmar",0,-6110.8,388.517,395.542
"Dun Morogh: Brewnall Village",0,-5368.81,319.498,394.123
"Dun Morogh: Iceflow Lake",0,-5259.74,107.593,392.567
"Dun Morogh: Gnomeregan",0,-5179.58,660.421,388.391
"Dun Morogh: ironforge",0,-4981.25,-881.542,501.66
"Duskwood: Brightwood Grove",0,-10649.7,-884.01,50.8196
"Duskwood: Twilight Grove",0,-10385,-424.696,63.534
"Duskwood: Yorgen Farmstead",0,-11105.4,-500.791,32.8518
"Duskwood: Rotting Orchard",0,-11069.3,-927.315,63.502
"Duskwood: Tranquil Gardens Cemetery",0,-10993.3,-1331.19,52.7805
"Duskwood: Dark Shire",0,-10567.5,-1169.86,29.0826
"Duskwood: Deadwind Pass",0,-10435.4,-1809.28,98.3851
"Duskwood: Raven Hill",0,-10750.1,323.644,38.0417
"Duskwood: Ravenhill Cemetery",0,-10316.7,342.295,59.6454
"Duskwood: Addle's Stead",0,-10992.6,268.794,27.5101
"Duskwood: Beggar's Haunt",0,-10359.9,-1531.75,91.5352
"Duskwood: Medivh's Tower",0,-11078.9,-2078.53,206.878
"Eastern Plaguelands: Ziggaraut",0,2433.31,-3782.06,185.472
"Eastern Plaguelands: Village",0,2016.11,-4486.36,73.6226
"Eastern Plaguelands: Ziggaraut in Mushroom Field",0,2823.83,-3727.76,124.971
"Eastern Plaguelands: Slaughterhouse in Mushroom Field",0,3097.32,-3562.77,134.093
"Eastern Plaguelands: Unknown City",0,3653.67,-3609.77,137.118
"Eastern Plaguelands: Cool Temple",0,3452.83,-4992.61,196.981
"Eastern Plaguelands: Slaughterhouse",0,2719.29,-5479.3,159.542
"Eastern Plaguelands: Tyr's Hand",0,1612.63,-5524.9,111.148
"Elwynn Forest: Stormwind City",0,-8913.23,554.633,93.7944
"Elwynn Forest: Valley of Heroes",0,-8951.62,524.373,96.6275
"Elwynn Forest: Stormwind Trade District",0,-8852.03,652.878,96.46
"Elwynn Forest: Stormwind Canals",0,-8675.39,635.774,96.9275
"Elwynn Forest: Stormwind Old Town",0,-8662.9,498.212,100.833
"Elwynn Forest: Stormwind Cathedral Square",0,-8635.62,762.727,103.667
"Elwynn Forest: Stormwind Cathedral of Light",0,-8513.49,861.197,111.039
"Elwynn Forest: Stormwind Wizard's Sanctum",0,-9007.65,870.424,148.618
"Elwynn Forest: Stormwind Mage Quarter",0,-8896.36,834.148,99.5207
"Elwynn Forest: Stormwind Bank",0,-8937.08,640.4,100.645
"Elwynn Forest: Northshire Valley",0,-9043.76,-41.5906,88.3589
"Elwynn Forest: Northshire Vineyards",0,-9092.38,-368.684,73.6163
"Elwynn Forest: Goldshire",0,-9443.45,59.8944,56.0704
"Elwynn Forest: Mirror Lake",0,-9355.84,537.441,52.5171
"Elwynn Forest: Mirror Lake Orchard",0,-9469.08,467.583,54.0913
